mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,7.55,55523,3414,Action|Drama,3,3,8.0,11.0,1.5652996691533287e-05,4.1032896710107334e-09,4.500898533862021e-09,12432,3381.0,1942.0
645,Hikaru no Go: Hokuto Hai e no Michi,Special,7.92,26147,4965,Sports|Supernatural,1,9,10.0,132.0,1.5650452461619194e-05,4.402336529008428e-05,8.027094961716174e-08,12433,4873.0,858.0
4250,Kore ga UFO da! Soratobu Enban,Movie,4.95,1874,12918,Sci-Fi,3,3,3.0,3.0,1.5650019862577025e-05,5.6960680882575394e-11,6.982796841790387e-11,12434,12022.0,15005.0
8314,Tentai Senshi Sunred: Short Corner,Special,6.49,1103,14956,Comedy,1,1,6.0,9.0,1.5649865433415245e-05,9.415904669331963e-10,6.080060041334748e-10,12435,13422.0,8364.0
12279,Kinnikuman II Sei: Muscle Ninjin Soudatsu sen! Choujin Daisensou,Movie,6.84,1700,13245,Action|Comedy|Drama|Romance,1,1,6.0,9.0,1.564689716446915e-05,2.945174003161743e-11,4.903433692196712e-10,12436,12272.0,5876.0
23227,Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.,OVA,7.13,55323,3421,Comedy|Romance|Slice of Life,3,3,10.0,13.0,1.564121916649653e-05,8.943128663613808e-09,5.135504896307422e-09,12437,3386.0,4203.0
231,Asagiri no Miko,TV,6.16,8912,7641,Action|Comedy|Drama|Fantasy,6,6,9.0,9.0,1.5638288993348e-05,6.994491727482107e-08,2.424977732082622e-09,12438,7390.0,10596.0
15963,Seitokai no Ichizon Lv.2: Watasu Seitokai,OVA,7.28,24603,5092,Comedy,3,3,8.0,11.0,1.563701060002942e-05,5.501792130445556e-10,2.0818257894590877e-09,12439,4996.0,3237.0
15717,Nagareboshi Lens Specials,Special,6.09,3697,10560,Romance,1,1,5.0,5.0,1.562931047202511e-05,2.118003535573962e-09,1.5111423861018017e-09,12440,10042.0,11026.0
1216,Boku wa Konomama Kaeranai,OVA,5.39,10709,7088,Drama|Romance,1,1,3.0,3.0,1.562802721657329e-05,1.281671169297816e-12,1.6100100739500753e-12,12441,6864.0,14235.0
